"","reg_date","state_name","Freq","region","id","month","year"
"236","2020-01-23","BAJA_CALIFORNIA_SUR",0,"03","3",1,2020
"237","2020-01-30","BAJA_CALIFORNIA_SUR",0,"03","3",1,2020
"238","2020-02-04","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"239","2020-02-05","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"240","2020-02-06","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"241","2020-02-07","BAJA_CALIFORNIA_SUR",1,"03","3",2,2020
"242","2020-02-08","BAJA_CALIFORNIA_SUR",1,"03","3",2,2020
"243","2020-02-09","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"244","2020-02-10","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"245","2020-02-11","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"246","2020-02-12","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"247","2020-02-13","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"248","2020-02-14","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"249","2020-02-15","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"250","2020-02-16","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"251","2020-02-17","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"252","2020-02-22","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"253","2020-02-23","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"254","2020-02-24","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"255","2020-02-26","BAJA_CALIFORNIA_SUR",1,"03","3",2,2020
"256","2020-02-27","BAJA_CALIFORNIA_SUR",1,"03","3",2,2020
"257","2020-02-28","BAJA_CALIFORNIA_SUR",1,"03","3",2,2020
"258","2020-02-29","BAJA_CALIFORNIA_SUR",0,"03","3",2,2020
"259","2020-03-01","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"260","2020-03-02","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"261","2020-03-03","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"262","2020-03-04","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"263","2020-03-05","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"264","2020-03-06","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"265","2020-03-10","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"266","2020-03-18","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"267","2020-03-24","BAJA_CALIFORNIA_SUR",0,"03","3",3,2020
"268","2020-04-01","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"269","2020-04-09","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"270","2020-04-10","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"271","2020-04-11","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"272","2020-04-12","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"273","2020-04-13","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"274","2020-04-14","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"275","2020-04-15","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
"276","2020-04-16","BAJA_CALIFORNIA_SUR",0,"03","3",4,2020
